日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2023-11-01,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1000股,101.565,-101565,-1000股,-,21.47,0,全部成交,2023-11-01 14:00:00
2023-11-02,14:00:00,基金,银华日利(511880.XSHG),买,市价单,900股,101.575,91417.5,900股,-,0,0,全部成交,2023-11-02 14:00:00
2023-11-03,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-800股,101.578,-81262.4,-800股,-,10.15,0,全部成交,2023-11-03 14:00:00
2023-11-06,14:00:00,基金,银华日利(511880.XSHG),买,市价单,700股,101.567,71096.9,700股,-,0,0,全部成交,2023-11-06 14:00:00
2023-11-07,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,101.583,-60949.8,-600股,-,10.02,0,全部成交,2023-11-07 14:00:00
2023-11-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,101.591,50795.5,500股,-,0,0,全部成交,2023-11-08 14:00:00
2023-11-09,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,101.593,-40637.2,-400股,-,6.19,0,全部成交,2023-11-09 14:00:00
2023-11-10,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,101.606,30481.8,300股,-,0,0,全部成交,2023-11-10 14:00:00
2023-11-13,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,101.611,-20322.2,-200股,-,4.99,0,全部成交,2023-11-13 14:00:00
2023-11-14,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,101.614,10161.4,100股,-,0,0,全部成交,2023-11-14 14:00:00
2024-01-23,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,100.211,-90189.9,-900股,-,364.35,0,全部成交,2024-01-23 10:00:00
2024-01-30,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1700股,100.247,170419.9,1700股,-,0,0,全部成交,2024-01-30 10:00:00
2024-02-01,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1600股,100.263,-160420.8,-1600股,-,25.6,0,全部成交,2024-02-01 14:00:00
2024-02-01,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1500股,100.263,150394.5,1500股,-,0,0,全部成交,2024-02-01 14:00:00
2024-02-02,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1400股,100.279,-140390.6,-1400股,-,23.8,0,全部成交,2024-02-02 14:00:00
2024-02-05,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1300股,100.281,130365.3,1300股,-,0,0,全部成交,2024-02-05 14:00:00
2024-02-06,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1500股,100.286,-150429,-1500股,-,11.3,0,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,精艺股份(002295.XSHE),买,市价单,6500股,4.52,29380,6500股,-,0,7.34,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,英派斯(002899.XSHE),买,市价单,3100股,9.51,29481,3100股,-,0,7.37,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,登云股份(002715.XSHE),买,市价单,3500股,8.49,29715,3500股,-,0,7.43,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,3300股,8.86,29238,3300股,-,0,7.31,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,联诚精密(002921.XSHE),买,市价单,3200股,9.29,29728,3200股,-,0,7.43,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,达意隆(002209.XSHE),买,市价单,4800股,6.17,29616,4800股,-,0,7.4,全部成交,2024-02-06 10:00:00
2024-02-08,10:00:00,股票,精艺股份(002295.XSHE),卖,市价单,-6500股,4.05,-26325,-6500股,-,-3055,32.91,全部成交,2024-02-08 10:00:00
2024-02-08,10:00:00,股票,登云股份(002715.XSHE),卖,市价单,-3500股,6.97,-24395,-3500股,-,-5320,30.49,全部成交,2024-02-08 10:00:00
2024-02-08,10:00:00,股票,名雕股份(002830.XSHE),卖,市价单,-0股,--,0,-3300股,-,0,0,已撤单,2024-02-08 10:00:00
2024-02-08,10:00:00,股票,联诚精密(002921.XSHE),卖,市价单,-3200股,8.45,-27040,-3200股,-,-2688,33.8,全部成交,2024-02-08 10:00:00
