日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-09-03,14:00:00,基金,银华日利(511880.XSHG),买,市价单,400股,101.177,40470.8,400股,-,0,0,全部成交,2024-09-03 14:00:00
2024-09-04,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,101.182,-30354.6,-300股,-,4.87,0,全部成交,2024-09-04 14:00:00
2024-09-05,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,101.19,20238,200股,-,0,0,全部成交,2024-09-05 14:00:00
2024-09-06,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,101.204,-10120.4,-100股,-,3.13,0,全部成交,2024-09-06 14:00:00
2024-09-10,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,101.202,-60721.2,-600股,-,17.59,0,全部成交,2024-09-10 10:00:00
2024-09-10,10:00:00,股票,日发精机(002520.XSHE),买,市价单,24400股,5.37,131028,24400股,-,0,32.76,全部成交,2024-09-10 10:00:00
2024-09-18,10:00:00,股票,日发精机(002520.XSHE),卖,市价单,-24400股,4.78,-116632,-24400股,-,-14396,145.79,全部成交,2024-09-18 10:00:00
2024-09-18,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1100股,101.223,111345.3,1100股,-,0,0,全部成交,2024-09-18 14:00:00
2024-09-18,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1000股,101.223,-101223,-1000股,-,0,0,全部成交,2024-09-18 14:00:00
2024-09-19,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,101.226,-10122.6,-100股,-,0.3,0,全部成交,2024-09-19 10:00:00
2024-09-19,10:00:00,股票,日发精机(002520.XSHE),买,市价单,29100股,4,116400,29100股,-,0,29.1,全部成交,2024-09-19 10:00:00
2024-09-24,10:00:00,股票,日发精机(002520.XSHE),卖,市价单,-29100股,4.02,-116982,-29100股,-,582,146.23,全部成交,2024-09-24 10:00:00
2024-09-24,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1100股,101.25,111375,1100股,-,0,0,全部成交,2024-09-24 10:00:00
2024-09-24,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1000股,101.24,-101240,-1000股,-,-10,0,全部成交,2024-09-24 14:00:00
2024-09-25,14:00:00,基金,银华日利(511880.XSHG),买,市价单,900股,101.254,91128.6,900股,-,0,0,全部成交,2024-09-25 14:00:00
2024-09-26,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-800股,101.249,-80999.2,-800股,-,-3.68,0,全部成交,2024-09-26 14:00:00
2024-09-27,14:00:00,基金,银华日利(511880.XSHG),买,市价单,700股,101.205,70843.5,700股,-,0,0,全部成交,2024-09-27 14:00:00
2024-09-30,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,101.274,-60764.4,-600股,-,34.92,0,全部成交,2024-09-30 14:00:00
2024-10-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,101.299,50649.5,500股,-,0,0,全部成交,2024-10-08 14:00:00
2024-10-09,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-800股,101.308,-81046.4,-800股,-,32.16,0,全部成交,2024-10-09 10:00:00
2024-10-09,10:00:00,股票,世联行(002285.XSHE),买,市价单,46100股,2.54,117094,46100股,-,0,29.27,全部成交,2024-10-09 10:00:00
2024-10-10,10:00:00,股票,世联行(002285.XSHE),卖,市价单,-46100股,2.34,-107874,-46100股,-,-9220,134.84,全部成交,2024-10-10 10:00:00
2024-10-10,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1000股,101.333,101333,1000股,-,0,0,全部成交,2024-10-10 14:00:00
2024-10-10,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,101.333,-91199.7,-900股,-,0,0,全部成交,2024-10-10 14:00:00
2024-10-11,14:00:00,基金,银华日利(511880.XSHG),买,市价单,800股,101.423,81138.4,800股,-,0,0,全部成交,2024-10-11 14:00:00
2024-10-14,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-700股,101.45,-71015,-700股,-,25.9,0,全部成交,2024-10-14 14:00:00
2024-10-15,14:00:00,基金,银华日利(511880.XSHG),买,市价单,600股,101.38,60828,600股,-,0,0,全部成交,2024-10-15 14:00:00
2024-10-16,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,101.337,-50668.5,-500股,-,-25.63,0,全部成交,2024-10-16 14:00:00
2024-10-17,14:00:00,基金,银华日利(511880.XSHG),买,市价单,400股,101.338,40535.2,400股,-,0,0,全部成交,2024-10-17 14:00:00
2024-10-18,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,101.308,-30392.4,-300股,-,-15.46,0,全部成交,2024-10-18 14:00:00
2024-10-21,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,101.348,20269.6,200股,-,0,0,全部成交,2024-10-21 14:00:00
2024-10-22,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,101.351,-10135.1,-100股,-,-0.47,0,全部成交,2024-10-22 14:00:00
2024-11-05,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,101.411,-50705.5,-500股,-,27.65,0,全部成交,2024-11-05 10:00:00
2024-11-05,10:00:00,股票,川润股份(002272.XSHE),买,市价单,4400股,12,52800,4400股,-,0,13.2,全部成交,2024-11-05 10:00:00
2024-11-05,10:00:00,股票,青岛金王(002094.XSHE),买,市价单,6400股,8.37,53568,6400股,-,0,13.39,全部成交,2024-11-05 10:00:00
2024-11-06,14:00:00,股票,青岛金王(002094.XSHE),卖,市价单,-6400股,9.8,-62720,-6400股,-,9152,78.4,全部成交,2024-11-06 14:00:00
2024-11-06,14:00:00,股票,川润股份(002272.XSHE),买,市价单,800股,12.19,9752,800股,-,0,5,全部成交,2024-11-06 14:00:00
2024-11-06,14:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,101.416,50708,500股,-,0,0,全部成交,2024-11-06 14:00:00
2024-11-07,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,101.413,-40565.2,-400股,-,-1.2,0,全部成交,2024-11-07 14:00:00
2024-11-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,101.42,30426,300股,-,0,0,全部成交,2024-11-08 14:00:00
2024-11-11,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,101.433,-20286.6,-200股,-,2.8,0,全部成交,2024-11-11 14:00:00
2024-11-12,10:00:00,股票,川润股份(002272.XSHE),卖,市价单,-5200股,11.86,-61672,-5200股,-,-880,77.09,全部成交,2024-11-12 10:00:00
2024-11-12,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,101.438,-20287.6,-200股,-,3.8,0,全部成交,2024-11-12 10:00:00
2024-11-12,10:00:00,股票,蓝黛科技(002765.XSHE),买,市价单,5700股,10.04,57228,5700股,-,0,14.31,全部成交,2024-11-12 10:00:00
2024-11-12,10:00:00,股票,中化岩土(002542.XSHE),买,市价单,11500股,5.01,57615,11500股,-,0,14.4,全部成交,2024-11-12 10:00:00
2024-11-15,10:00:00,股票,蓝黛科技(002765.XSHE),卖,市价单,-5700股,8.77,-49989,-5700股,-,-7239,62.49,全部成交,2024-11-15 10:00:00
2024-11-15,10:00:00,股票,中化岩土(002542.XSHE),卖,市价单,-11500股,4.3,-49450,-11500股,-,-8165,61.81,全部成交,2024-11-15 10:00:00
2024-11-15,14:00:00,基金,银华日利(511880.XSHG),买,市价单,400股,101.449,40579.6,400股,-,0,0,全部成交,2024-11-15 14:00:00
2024-11-15,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,101.449,10144.9,100股,-,0,0,全部成交,2024-11-15 14:00:00
2024-11-19,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,101.451,-50725.5,-500股,-,1,0,全部成交,2024-11-19 10:00:00
2024-11-19,10:00:00,股票,金财互联(002530.XSHE),买,市价单,10700股,9.3,99510,10700股,-,0,24.88,全部成交,2024-11-19 10:00:00
2024-11-26,10:00:00,股票,金财互联(002530.XSHE),卖,市价单,-10700股,8.29,-88703,-10700股,-,-10807,110.88,全部成交,2024-11-26 10:00:00
2024-11-26,10:00:00,股票,泰坦股份(003036.XSHE),买,市价单,1400股,12.26,17164,1400股,-,0,5,全部成交,2024-11-26 10:00:00
2024-11-26,10:00:00,股票,海宁皮城(002344.XSHE),买,市价单,3300股,5.35,17655,3300股,-,0,5,全部成交,2024-11-26 10:00:00
2024-11-26,10:00:00,股票,三维化学(002469.XSHE),买,市价单,1500股,11.78,17670,1500股,-,0,5,全部成交,2024-11-26 10:00:00
2024-11-26,10:00:00,股票,竞业达(003005.XSHE),买,市价单,500股,31.34,15670,500股,-,0,5,全部成交,2024-11-26 10:00:00
2024-11-26,10:00:00,股票,爱仕达(002403.XSHE),买,市价单,1100股,15.17,16687,1100股,-,0,5,全部成交,2024-11-26 10:00:00
2024-11-27,10:00:00,股票,泰坦股份(003036.XSHE),卖,市价单,-0股,--,0,-1400股,-,0,0,已撤单,2024-11-27 10:00:00
2024-11-27,10:00:00,股票,三维化学(002469.XSHE),卖,市价单,-0股,--,0,-1500股,-,0,0,已撤单,2024-11-27 10:00:00
2024-11-27,10:00:00,股票,爱仕达(002403.XSHE),卖,市价单,-0股,--,0,-1100股,-,0,0,已撤单,2024-11-27 10:00:00
2024-11-28,10:00:00,股票,泰坦股份(003036.XSHE),卖,市价单,-1400股,10.81,-15134,-1400股,-,-2030,20.13,全部成交,2024-11-28 10:00:00
2024-11-28,10:00:00,股票,三维化学(002469.XSHE),卖,市价单,-1500股,9.57,-14355,-1500股,-,-3315,19.36,全部成交,2024-11-28 10:00:00
2024-11-28,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,101.493,10149.3,100股,-,0,0,全部成交,2024-11-28 14:00:00
2024-11-28,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,101.493,10149.3,100股,-,0,0,全部成交,2024-11-28 14:00:00
2024-11-29,10:00:00,股票,海宁皮城(002344.XSHE),卖,市价单,-3300股,4.72,-15576,-3300股,-,-2079,20.58,全部成交,2024-11-29 10:00:00
2024-11-29,10:00:00,股票,爱仕达(002403.XSHE),卖,市价单,-1100股,12.29,-13519,-1100股,-,-3168,18.52,全部成交,2024-11-29 10:00:00
2024-11-29,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,101.495,20299,200股,-,0,0,全部成交,2024-11-29 14:00:00
2024-12-02,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,101.506,-10150.6,-100股,-,1.2,0,全部成交,2024-12-02 14:00:00
2024-12-03,10:00:00,股票,竞业达(003005.XSHE),卖,市价单,-500股,30.13,-15065,-500股,-,-605,20.06,全部成交,2024-12-03 10:00:00
2024-12-03,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,101.515,10151.5,100股,-,0,0,全部成交,2024-12-03 14:00:00
2024-12-17,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,101.562,-40624.8,-400股,-,25.1,0,全部成交,2024-12-17 10:00:00
2024-12-17,10:00:00,股票,广百股份(002187.XSHE),买,市价单,3500股,7.37,25795,3500股,-,0,6.45,全部成交,2024-12-17 10:00:00
2024-12-17,10:00:00,股票,东方智造(002175.XSHE),买,市价单,4000股,6.5,26000,4000股,-,0,6.5,全部成交,2024-12-17 10:00:00
2024-12-17,10:00:00,股票,建设工业(002265.XSHE),买,市价单,1100股,22.88,25168,1100股,-,0,6.29,全部成交,2024-12-17 10:00:00
2024-12-20,10:00:00,股票,东方智造(002175.XSHE),卖,市价单,-4000股,5.79,-23160,-4000股,-,-2840,28.95,全部成交,2024-12-20 10:00:00
2024-12-20,10:00:00,股票,建设工业(002265.XSHE),卖,市价单,-1100股,20.74,-22814,-1100股,-,-2354,28.52,全部成交,2024-12-20 10:00:00
2024-12-20,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,101.576,20315.2,200股,-,0,0,全部成交,2024-12-20 14:00:00
2024-12-23,10:00:00,股票,广百股份(002187.XSHE),卖,市价单,-3500股,6.29,-22015,-3500股,-,-3780,27.52,全部成交,2024-12-23 10:00:00
2024-12-23,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,101.579,20315.8,200股,-,0,0,全部成交,2024-12-23 14:00:00
2024-12-23,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,101.579,-10157.9,-100股,-,0.15,0,全部成交,2024-12-23 14:00:00
2024-12-24,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,101.577,-30473.1,-300股,-,-0.15,0,全部成交,2024-12-24 10:00:00
2024-12-24,10:00:00,股票,粤传媒(002181.XSHE),买,市价单,9300股,7.38,68634,9300股,-,0,17.16,全部成交,2024-12-24 10:00:00
2024-12-25,10:00:00,股票,粤传媒(002181.XSHE),卖,市价单,-0股,--,0,-9300股,-,0,0,已撤单,2024-12-25 10:00:00
2024-12-26,10:00:00,股票,粤传媒(002181.XSHE),卖,市价单,-9300股,6.46,-60078,-9300股,-,-8556,75.1,全部成交,2024-12-26 10:00:00
2024-12-26,14:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,101.587,50793.5,500股,-,0,0,全部成交,2024-12-26 14:00:00
2024-12-26,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,101.587,-40634.8,-400股,-,0,0,全部成交,2024-12-26 14:00:00
2024-12-27,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,101.602,30480.6,300股,-,0,0,全部成交,2024-12-27 14:00:00
2024-12-30,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,101.601,-20320.2,-200股,-,0.55,0,全部成交,2024-12-30 14:00:00
2024-12-31,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.066,-20013.2,-200股,-,3.97,0,全部成交,2024-12-31 10:00:00
2024-12-31,10:00:00,股票,沃华医药(002107.XSHE),买,市价单,6300股,4.78,30114,6300股,-,0,7.53,全部成交,2024-12-31 10:00:00
2024-12-31,10:00:00,股票,实益达(002137.XSHE),买,市价单,3300股,8.99,29667,3300股,-,0,7.42,全部成交,2024-12-31 10:00:00
2025-01-02,14:50:00,股票,沃华医药(002107.XSHE),卖,市价单,-6300股,4.5,-28350,-6300股,-,-1764,35.44,全部成交,2025-01-02 14:50:00
2025-01-02,14:50:00,股票,实益达(002137.XSHE),卖,市价单,-3300股,8.8,-29040,-3300股,-,-627,36.3,全部成交,2025-01-02 14:50:00
2025-01-07,10:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,100.085,50042.5,500股,-,0,0,全部成交,2025-01-07 10:00:00
2025-01-14,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,100.1,-40040,-400股,-,6,0,全部成交,2025-01-14 10:00:00
2025-01-21,10:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,100.122,30036.6,300股,-,0,0,全部成交,2025-01-21 10:00:00
2025-01-27,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.182,-20036.4,-200股,-,13.85,0,全部成交,2025-01-27 10:00:00
2025-02-05,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,100.187,10018.7,100股,-,0,0,全部成交,2025-02-05 14:00:00
2025-02-18,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,100.234,-30070.2,-300股,-,28.95,0,全部成交,2025-02-18 10:00:00
2025-02-18,10:00:00,股票,梦网科技(002123.XSHE),买,市价单,3100股,18.51,57381,3100股,-,0,14.35,全部成交,2025-02-18 10:00:00
2025-02-25,10:00:00,股票,梦网科技(002123.XSHE),卖,市价单,-3100股,17.65,-54715,-3100股,-,-2666,68.39,全部成交,2025-02-25 10:00:00
2025-02-25,10:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,100.25,50125,500股,-,0,0,全部成交,2025-02-25 10:00:00
2025-02-25,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,100.249,-40099.6,-400股,-,-0.4,0,全部成交,2025-02-25 14:00:00
2025-02-26,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,100.249,30074.7,300股,-,0,0,全部成交,2025-02-26 14:00:00
2025-02-27,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.256,-20051.2,-200股,-,1.35,0,全部成交,2025-02-27 14:00:00
2025-02-28,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,100.268,10026.8,100股,-,0,0,全部成交,2025-02-28 14:00:00
2025-06-24,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,100.637,-30191.1,-300股,-,114.45,0,全部成交,2025-06-24 10:00:00
2025-06-24,10:00:00,股票,贝肯能源(002828.XSHE),买,市价单,2300股,11.76,27048,2300股,-,0,6.76,全部成交,2025-06-24 10:00:00
2025-06-24,10:00:00,股票,惠博普(002554.XSHE),买,市价单,9500股,2.9,27550,9500股,-,0,6.89,全部成交,2025-06-24 10:00:00
2025-06-26,10:00:00,股票,贝肯能源(002828.XSHE),卖,市价单,-2300股,10.52,-24196,-2300股,-,-2852,30.24,全部成交,2025-06-26 10:00:00
2025-06-26,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,100.644,20128.8,200股,-,0,0,全部成交,2025-06-26 14:00:00
2025-06-26,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,100.644,-10064.4,-100股,-,0,0,全部成交,2025-06-26 14:00:00
2025-07-01,10:00:00,股票,惠博普(002554.XSHE),卖,市价单,-9500股,2.8,-26600,-9500股,-,-950,33.25,全部成交,2025-07-01 10:00:00
2025-07-01,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,100.668,30200.4,300股,-,0,0,全部成交,2025-07-01 14:00:00
2025-07-02,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.67,-20134,-200股,-,1.6,0,全部成交,2025-07-02 14:00:00
2025-07-03,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,100.674,10067.4,100股,-,0,0,全部成交,2025-07-03 14:00:00
2025-07-15,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,100.704,-30211.2,-300股,-,11.4,0,全部成交,2025-07-15 10:00:00
2025-07-15,10:00:00,股票,精艺股份(002295.XSHE),买,市价单,1600股,10.53,16848,1600股,-,0,5,全部成交,2025-07-15 10:00:00
2025-07-15,10:00:00,股票,兴民智通(002355.XSHE),买,市价单,2400股,6.9,16560,2400股,-,0,5,全部成交,2025-07-15 10:00:00
2025-07-15,10:00:00,股票,通鼎互联(002491.XSHE),买,市价单,3300股,5.17,17061,3300股,-,0,5,全部成交,2025-07-15 10:00:00
2025-07-22,10:00:00,股票,精艺股份(002295.XSHE),卖,市价单,-1600股,9.74,-15584,-1600股,-,-1264,20.58,全部成交,2025-07-22 10:00:00
2025-07-22,10:00:00,股票,兴民智通(002355.XSHE),卖,市价单,-2400股,6.42,-15408,-2400股,-,-1152,20.41,全部成交,2025-07-22 10:00:00
2025-07-22,10:00:00,股票,通鼎互联(002491.XSHE),卖,市价单,-3300股,4.97,-16401,-3300股,-,-660,21.4,全部成交,2025-07-22 10:00:00
2025-07-22,10:00:00,基金,银华日利(511880.XSHG),买,市价单,400股,100.719,40287.6,400股,-,0,0,全部成交,2025-07-22 10:00:00
2025-07-22,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,100.719,-30215.7,-300股,-,0,0,全部成交,2025-07-22 14:00:00
2025-07-23,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,100.723,20144.6,200股,-,0,0,全部成交,2025-07-23 14:00:00
2025-07-24,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,100.733,-10073.3,-100股,-,1.13,0,全部成交,2025-07-24 14:00:00
2025-08-12,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.776,-20155.2,-200股,-,10.87,0,全部成交,2025-08-12 10:00:00
2025-08-12,10:00:00,股票,煌上煌(002695.XSHE),买,市价单,3300股,14.35,47355,3300股,-,0,11.84,全部成交,2025-08-12 10:00:00
2025-08-15,10:00:00,股票,煌上煌(002695.XSHE),卖,市价单,-3300股,13.04,-43032,-3300股,-,-4323,53.79,全部成交,2025-08-15 10:00:00
2025-08-15,14:00:00,基金,银华日利(511880.XSHG),买,市价单,400股,100.8,40320,400股,-,0,0,全部成交,2025-08-15 14:00:00
2025-08-15,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,100.8,-30240,-300股,-,0,0,全部成交,2025-08-15 14:00:00
2025-08-18,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,100.799,20159.8,200股,-,0,0,全部成交,2025-08-18 14:00:00
2025-08-19,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,100.798,-10079.8,-100股,-,-0.13,0,全部成交,2025-08-19 14:00:00
2025-11-18,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,101.075,-20215,-200股,-,55.13,0,全部成交,2025-11-18 10:00:00
2025-11-18,10:00:00,股票,锋龙股份(002931.XSHE),买,市价单,2300股,18.41,42343,2300股,-,0,10.59,全部成交,2025-11-18 10:00:00
2025-11-25,10:00:00,股票,锋龙股份(002931.XSHE),卖,市价单,-2300股,17.76,-40848,-2300股,-,-1495,51.06,全部成交,2025-11-25 10:00:00
2025-11-25,10:00:00,基金,银华日利(511880.XSHG),买,市价单,400股,101.101,40440.4,400股,-,0,0,全部成交,2025-11-25 10:00:00
2025-11-25,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,101.1,-30330,-300股,-,-0.3,0,全部成交,2025-11-25 14:00:00
2025-11-26,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,101.107,20221.4,200股,-,0,0,全部成交,2025-11-26 14:00:00
2025-11-27,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,101.108,-10110.8,-100股,-,0.3,0,全部成交,2025-11-27 14:00:00
2025-12-30,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,101.189,-20237.8,-200股,-,16.8,0,全部成交,2025-12-30 10:00:00
2025-12-30,10:00:00,股票,汇洁股份(002763.XSHE),买,市价单,1800股,7.79,14022,1800股,-,0,5,全部成交,2025-12-30 10:00:00
2025-12-30,10:00:00,股票,合兴包装(002228.XSHE),买,市价单,2700股,5.13,13851,2700股,-,0,5,全部成交,2025-12-30 10:00:00
2025-12-30,10:00:00,股票,昇兴股份(002752.XSHE),买,市价单,1900股,7.14,13566,1900股,-,0,5,全部成交,2025-12-30 10:00:00
2026-01-05,10:00:00,股票,合兴包装(002228.XSHE),卖,市价单,-2700股,4.63,-12501,-2700股,-,-1350,17.5,全部成交,2026-01-05 10:00:00
2026-01-05,14:50:00,股票,汇洁股份(002763.XSHE),卖,市价单,-1800股,7.28,-13104,-1800股,-,-918,18.1,全部成交,2026-01-05 14:50:00
2026-01-05,14:50:00,股票,昇兴股份(002752.XSHE),卖,市价单,-1900股,6.99,-13281,-1900股,-,-285,18.28,全部成交,2026-01-05 14:50:00
2026-01-06,10:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,100.049,30014.7,300股,-,0,0,全部成交,2026-01-06 10:00:00
2026-01-13,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.074,-20014.8,-200股,-,5,0,全部成交,2026-01-13 10:00:00
2026-01-20,10:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,100.108,10010.8,100股,-,0,0,全部成交,2026-01-20 10:00:00
2026-02-03,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.143,-20028.6,-200股,-,12.9,0,全部成交,2026-02-03 10:00:00
2026-02-03,10:00:00,股票,湖南白银(002716.XSHE),买,市价单,2500股,15.43,38575,2500股,-,0,9.64,全部成交,2026-02-03 10:00:00
2026-02-06,10:00:00,股票,湖南白银(002716.XSHE),卖,市价单,-2500股,12.9,-32250,-2500股,-,-6325,40.31,全部成交,2026-02-06 10:00:00
2026-02-06,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,100.164,30049.2,300股,-,0,0,全部成交,2026-02-06 14:00:00
2026-02-06,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.164,-20032.8,-200股,-,0,0,全部成交,2026-02-06 14:00:00
2026-02-09,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,100.16,10016,100股,-,0,0,全部成交,2026-02-09 14:00:00
