策略名称,回测开始,回测结束,本金,原因
2024_1_origin_py/100.全市场归因,2023-09-01,2026-02-21,200000,异常
2024_1_origin_py/15.10年52倍，年化59%，全新因子方法超稳定,2023-09-01,2026-02-21,200000,异常
2024_1_origin_py/22.菜场大妈皇城大妈年化108大妈吉祥,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/24.凑波热闹，也来试试多因子线性回归,2023-09-01,2026-02-21,200000,异常
2024_1_origin_py/41.人工智能强化学习DQN交易智能体（回馈社区公开训练代码）,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/47.随机森林量价多因子选股 短线交易,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/51.【复现】行业有效量价因子与行业轮动策略,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/56.双人工智能配合，样本外夏普3.9,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/57.【复现】技术分析算法、框架与实战之二：识别“圆弧底”,2023-09-01,2026-02-21,200000,回测失败
"2024_1_origin_py/58.融券做空,3年35倍多！已模拟2年半，动态跑盘收益惊人！",2023-09-01,2026-02-21,200000,已取消
2024_1_origin_py/61.聚类算法分析股票，看看今年大体能分出哪几类,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/62.分享一种K线小碎步后突破的分钟级打法,2023-09-01,2026-02-21,200000,已取消
2024_1_origin_py/63.怎么让龟速变奔跑？以“首版突破一进二”为例,2023-09-01,2026-02-21,200000,已取消
2024_1_origin_py/64.基于XGBoost6m滚动选股策略,2023-09-01,2026-02-21,200000,已取消
2024_1_origin_py/68.业绩预告小工具--已更新,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/69.人工智能早晨十字星模型反转形态预测,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/7.连板龙头策略,2023-09-01,2026-02-21,200000,亏钱2024_1_origin_py/75.【复现】个股动量效应的识别及球队硬币因子,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/77.【复现】筹码分布因子,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/78.国盛证券多因子,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/81.方正证券-多因子选股系列研究之四：“球队硬币”,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/83.回测“一创模拟盘2号”，最终优化，年化39%,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/84.【社区研究】连板龙头策略-wywy：复现与研究,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/75.【复现】个股动量效应的识别及球队硬币因子,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/89.【复现·水】市场情绪指标专题行业指数顶部和底部信号,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/90.【复现】凸显度因子,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/91.【复现】多任务时序动量策略,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/92.【机器学习研究】动态多因子选股策略研究,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/93.【复现】国信投资者情绪指数择时模型,2023-09-01,2026-02-21,200000,回测失败
2024_1_origin_py/98.FScore9因子模型改进——RFScore7因子,2023-09-01,2026-02-21,200000,已取消
2024_1_origin_py/99.波动率交易的前言——期权定价,2023-09-01,2026-02-21,200000,回测失败
