策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间
2024_1_origin_py/1.差不多得了,2023-09-01,2026-02-21,200000,,123.41%,40.18%,54.49%,44.61%,0.263,0.777,1.011,0.611,1.935,39.87%,1.218,0.09%,40.85%,0.519,0.529,116,74,0.751,0.358,0.236,"2024/01/26,2024/02/07"
2024_1_origin_py/10.多因子宽基ETF择时轮动改进版-高收益大资金低回撤,2023-09-01,2026-02-21,200000,00分26秒,-0.77%,-0.33%,-36.31%,55.81%,-0.092,0.299,-0.251,0.363,1.018,17.40%,-0.463,-0.06%,48.97%,-0.808,0.506,45,79,-0.775,0.172,0.324,"2023/09/22,2024/09/04"
2024_1_origin_py/11.低价小盘简单有效,2023-09-01,2026-02-21,200000,02分14秒,118.78%,38.95%,51.29%,44.61%,0.249,0.784,0.948,0.652,2.353,50.34%,1.225,0.09%,48.47%,0.468,0.546,131,70,0.688,0.368,0.236,"2024/01/09,2024/06/24"
2024_1_origin_py/12.致敬聚宽机器学习多因子50只持仓14年37倍,2023-09-01,2026-02-21,200000,26分32秒,65.09%,23.45%,33.38%,23.77%,0.145,0.928,0.790,0.580,2.200,24.25%,0.994,0.06%,23.56%,0.481,0.541,542,392,0.762,0.246,0.176,"2023/11/28,2024/02/05"
2024_1_origin_py/13.5年15倍的收益，年化79.93%，可实盘，拿走不谢！,2023-09-01,2026-02-21,200000,,118.72%,38.94%,76.71%,23.77%,0.299,0.940,0.856,0.661,2.694,49.63%,0.984,0.12%,49.90%,0.617,0.566,84,43,0.791,0.408,0.176,"2024/01/04,2024/02/07"
2024_1_origin_py/14.四年多翻9倍，年化73%，成长因子评分筛选,2023-09-01,2026-02-21,200000,,125.84%,40.82%,56.18%,44.61%,0.254,0.898,1.007,0.559,2.623,45.39%,1.281,0.09%,40.24%,0.557,0.518,52,41,0.805,0.366,0.236,"2023/09/27,2024/02/07"
2024_1_origin_py/16.大市值价值投资，从2005年至今超额稳定,2023-09-01,2026-02-21,200000,,36.71%,14.04%,10.45%,23.77%,0.055,0.836,0.432,0.685,2.456,18.09%,0.537,0.02%,17.08%,0.015,0.503,37,17,0.256,0.232,0.176,"2024/01/26,2024/02/05"
2024_1_origin_py/17.5年超额收益1055%，K线处理大阴线，无未来,2023-09-01,2026-02-21,200000,01分18秒,105.69%,35.39%,42.24%,44.61%,0.209,0.826,0.982,0.564,2.009,39.50%,1.276,0.07%,41.72%,0.467,0.533,62,48,0.726,0.320,0.236,"2024/01/18,2024/06/06"
2024_1_origin_py/18.微盘股研究,2023-09-01,2026-02-21,200000,05分22秒,136.31%,43.52%,90.92%,23.77%,0.350,0.845,1.208,0.675,3.522,37.60%,1.440,0.13%,37.96%,0.931,0.561,1604,773,1.166,0.327,0.176,"2024/01/04,2024/02/07"
2024_1_origin_py/19.高股息低市盈率高增长的价投策略,2023-09-01,2026-02-21,200000,,57.92%,21.16%,27.59%,23.77%,0.131,0.763,0.935,0.624,2.795,16.02%,1.272,0.04%,11.20%,0.514,0.545,63,38,0.893,0.184,0.176,"2024/05/13,2024/09/13"
2024_1_origin_py/2.“7年40倍”策略扩容到50只,2023-09-01,2026-02-21,200000,03分56秒,146.96%,46.21%,70.78%,44.61%,0.316,0.830,1.237,0.673,3.064,45.19%,1.433,0.11%,43.29%,0.757,0.582,836,407,1.043,0.341,0.236,"2024/01/02,2024/02/07"
2024_1_origin_py/20.有赚就好-小市值剥头皮改进 2年3.86%回撤,2023-09-01,2026-02-21,200000,18分21秒,83.22%,28.97%,29.24%,41.76%,0.231,0.156,2.025,0.638,2.219,15.10%,2.657,0.06%,37.41%,0.279,0.511,422,239,0.497,0.123,0.283,"2024/03/20,2024/09/06"
2024_1_origin_py/21.一种宏观数据的中长线策略，年化15%，最大回撤9%,2023-09-01,2026-02-21,200000,00分43秒,13.60%,5.50%,-8.22%,23.77%,-0.026,0.766,0.096,0.250,2.087,18.36%,0.132,-0.01%,13.13%,-0.829,0.518,6,18,-0.432,0.157,0.176,"2024/10/08,2025/04/07"
2024_1_origin_py/23.wywy1995大神机器学习策略年化提升35pt,2023-09-01,2026-02-21,200000,06分06秒,165.32%,50.68%,114.36%,23.77%,0.419,0.892,1.273,0.651,2.354,45.72%,1.618,0.15%,46.33%,1.020,0.565,196,105,1.245,0.367,0.176,"2023/12/04,2024/02/07"
2024_1_origin_py/25.低价股优化，18年至今10625.40%，已加防未来函数,2023-09-01,2026-02-21,200000,01分41秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2024_1_origin_py/26.【深度解析 六】高股息率-低PEG-低股价 模型,2023-09-01,2026-02-21,200000,02分34秒,99.25%,33.60%,60.98%,23.77%,0.253,0.793,0.982,0.716,3.578,41.57%,1.151,0.09%,41.23%,0.674,0.587,154,61,0.898,0.301,0.176,"2023/11/22,2024/02/07"
2024_1_origin_py/27.根据大小盘相对强弱选择合适的板块股票进行交易,2023-09-01,2026-02-21,200000,01分15秒,1.21%,0.51%,-28.14%,40.84%,-0.114,0.686,-0.149,0.535,1.035,44.73%,-0.145,-0.05%,49.78%,-0.866,0.514,114,99,-0.763,0.234,0.209,"2024/01/02,2025/01/03"
2024_1_origin_py/28.正黄旗大妈选股法，修改版，年化92%,2023-09-01,2026-02-21,200000,01分06秒,172.80%,52.45%,88.65%,44.61%,0.383,0.792,1.409,0.750,5.761,38.92%,1.742,0.12%,37.80%,0.914,0.571,60,20,1.220,0.344,0.236,"2024/01/04,2024/02/07"
2024_1_origin_py/29.高增股池小市值轮动,2023-09-01,2026-02-21,200000,01分31秒,141.38%,44.81%,95.02%,23.77%,0.361,0.880,1.282,0.686,2.986,42.80%,1.647,0.13%,42.74%,1.017,0.543,168,77,1.270,0.318,0.176,"2024/01/04,2024/02/07"
2024_1_origin_py/3.【回顾3】ETF策略之核心资产轮动,2023-09-01,2026-02-21,200000,00分22秒,95.66%,32.58%,58.08%,23.77%,0.236,0.921,0.927,0.559,3.023,28.50%,1.181,0.09%,23.72%,0.657,0.531,19,15,0.883,0.308,0.176,"2024/10/08,2024/11/18"
2024_1_origin_py/30.挖掘中国特色的估值体系投资机会，年化150%+,2023-09-01,2026-02-21,200000,02分23秒,-8.95%,-3.86%,-26.44%,23.77%,-0.119,0.748,-0.385,0.350,1.388,20.73%,-0.579,-0.05%,33.37%,-0.995,0.449,7,13,-0.815,0.204,0.176,"2024/05/22,2024/09/13"
2024_1_origin_py/31.动量因子加RSRS择时和ETF轮动每日调仓,2023-09-01,2026-02-21,200000,00分23秒,87.10%,30.11%,51.16%,23.77%,0.210,0.952,0.864,0.545,2.524,26.95%,1.120,0.08%,21.30%,0.596,0.524,24,20,0.823,0.302,0.176,"2024/10/08,2024/11/18"
2024_1_origin_py/32.非线性市值（非小市值）组合4只,2023-09-01,2026-02-21,200000,05分59秒,60.00%,21.83%,29.26%,23.77%,0.125,0.998,0.586,0.500,2.053,26.85%,0.814,0.06%,24.92%,0.297,0.521,27,27,0.501,0.304,0.176,"2024/05/08,2024/09/18"
2024_1_origin_py/34.韶华研究之十八，201系列,2023-09-01,2026-02-21,200000,16分04秒,37.91%,14.46%,5.86%,30.28%,0.084,0.264,0.373,0.522,1.270,22.93%,0.547,0.03%,32.13%,-0.052,0.459,145,133,0.090,0.281,0.161,"2025/03/20,2025/09/03"
2024_1_origin_py/35.5年12倍-小市值,2023-09-01,2026-02-21,200000,04分45秒,113.55%,37.54%,47.67%,44.61%,0.221,0.896,0.982,0.566,1.838,37.61%,1.209,0.08%,36.98%,0.515,0.543,211,162,0.772,0.342,0.236,"2023/09/04,2024/02/07"
"2024_1_origin_py/36.【菜场大妈】股息率小市值策略,10年206倍,5年10.8倍",2023-09-01,2026-02-21,200000,01分39秒,88.33%,30.47%,30.24%,44.61%,0.176,0.695,0.769,0.688,2.549,41.92%,0.998,0.06%,40.85%,0.250,0.534,53,24,0.441,0.344,0.236,"2023/11/28,2024/02/07"
2024_1_origin_py/37.【择时模块实际效果】--论坛随便选了个策略加装,2023-09-01,2026-02-21,200000,10分10秒,37.34%,14.26%,-5.02%,44.61%,0.042,0.473,0.395,0.476,1.322,18.91%,0.494,0.01%,38.19%,-0.232,0.484,608,669,-0.094,0.260,0.236,"2024/12/20,2025/04/10"
2024_1_origin_py/38.ETF核心资产轮动-添油加醋,2023-09-01,2026-02-21,200000,01分32秒,75.52%,26.67%,9.33%,60.54%,0.175,0.285,0.772,0.535,2.400,27.75%,0.974,0.04%,33.19%,-0.006,0.499,23,20,0.143,0.294,0.219,"2024/10/08,2024/11/18"
