策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间
2024_2_origin_py/7.致敬经典作品——小兵哥《一致性风险度量》——极速版,2023-09-01,2026-02-21,200000,00分16秒,16.55%,6.65%,7.89%,8.02%,0.029,0.327,0.914,0.907,52.029,1.52%,1.021,0.01%,2.21%,-0.249,0.580,78,8,1.103,0.029,0.016,"2025/02/14,2025/03/11"
2024_2_origin_py/70.（股票交易模板）小市值-EPS-成长因子选股,2023-09-01,2026-02-21,200000,01分44秒,66.15%,23.78%,34.23%,23.77%,0.136,1.149,0.481,0.603,1.687,46.21%,0.595,0.08%,47.22%,0.255,0.545,47,31,0.401,0.411,0.176,"2024/01/15,2024/02/07"
2024_2_origin_py/73.实现净利润跳空策略,2023-09-01,2026-02-21,200000,08分07秒,40.16%,15.24%,13.24%,23.77%,0.049,1.173,0.324,0.532,1.539,41.94%,0.439,0.04%,37.58%,0.049,0.497,42,37,0.209,0.347,0.176,"2023/10/11,2024/02/07"
2024_2_origin_py/74.【动量应用V1】12年120倍，根据研报思路调整,2023-09-01,2026-02-21,200000,01分47秒,101.87%,34.33%,39.60%,44.61%,0.186,0.923,0.863,0.658,2.092,43.31%,1.008,0.07%,42.38%,0.403,0.571,225,117,0.637,0.351,0.236,"2024/01/15,2024/02/07"
2024_2_origin_py/76.ETF-控制回撤性能拉满（国债ETF增强),2023-09-01,2026-02-21,200000,00分16秒,11.87%,4.82%,-9.62%,23.77%,0.005,0.056,0.227,0.859,2.875,5.53%,0.270,-0.01%,29.93%,-0.485,0.501,164,27,-0.268,0.036,0.176,"2024/12/27,2025/04/07"
2024_2_origin_py/77.龙头弱转强战法,2023-09-01,2026-02-21,200000,06分58秒,-31.42%,-14.65%,-44.59%,23.77%,-0.188,0.022,-0.691,0.475,0.862,61.65%,-0.830,-0.08%,73.50%,-0.812,0.476,86,95,-0.751,0.270,0.176,"2024/09/06,2025/09/15"
2024_2_origin_py/78.ffscore选股加rsrs择时,2023-09-01,2026-02-21,200000,00分43秒,3.97%,1.65%,-16.00%,23.77%,-0.069,0.851,-0.117,0.451,1.105,28.61%,-0.149,-0.03%,31.92%,-0.816,0.501,74,90,-0.568,0.200,0.176,"2023/09/01,2025/05/27"
2024_2_origin_py/8.14个月200%，超短线实盘交易策略！无未来函数,2023-09-01,2026-02-21,200000,84分46秒,-77.16%,-46.23%,-81.54%,23.77%,-0.521,0.341,-1.289,0.481,0.773,81.43%,-1.533,-0.25%,86.88%,-1.364,0.437,165,178,-1.383,0.390,0.176,"2023/12/19,2026/02/11"
2024_2_origin_py/81.低PB小市值低换手策略总结,2023-09-01,2026-02-21,200000,00分27秒,15.18%,6.12%,-6.95%,23.77%,-0.010,0.578,0.135,0.486,1.399,19.13%,0.197,-0.01%,20.81%,-0.498,0.503,392,414,-0.232,0.157,0.176,"2023/09/04,2024/07/10"
2024_2_origin_py/82.可转债知识总结,2023-09-01,2026-02-21,200000,02分08秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2024_2_origin_py/83.开盘幅度决定日内方向,2023-09-01,2026-02-21,200000,00分12秒,46.16%,17.29%,18.09%,23.77%,0.093,0.738,0.875,0.549,1.858,21.63%,1.173,0.03%,14.90%,0.355,0.531,62,51,0.867,0.152,0.176,"2024/10/08,2025/04/07"
2024_2_origin_py/84.多大规模的基金收益最好？偏股基金规模研究,2023-09-01,2026-02-21,200000,01分12秒,32.27%,12.47%,6.18%,24.58%,0.030,0.964,0.446,0.235,0.442,22.45%,0.621,0.01%,18.54%,-0.168,0.548,12,39,0.324,0.190,0.176,"2023/09/07,2024/02/06"
2024_2_origin_py/87.北上净买入策略,2023-09-01,2026-02-21,200000,,129.12%,41.67%,85.11%,23.77%,0.325,0.959,1.235,0.452,2.107,32.85%,2.183,0.12%,23.91%,1.009,0.486,19,23,1.270,0.305,0.176,"2023/10/16,2024/02/05"
2024_2_origin_py/88.打首板策略，今年收益达到40%，绝无未来函数（必回）,2023-09-01,2026-02-21,200000,62分40秒,31.63%,12.24%,6.35%,23.77%,0.028,1.007,0.234,0.000,0.000,36.01%,0.361,0.03%,33.40%,-0.045,0.496,0,0,0.094,0.353,0.176,"2024/10/29,2025/04/08"
2024_2_origin_py/9.分享几个截止2022年3月仍有效的策略,2023-09-01,2026-02-21,200000,02分21秒,137.81%,43.91%,64.45%,44.61%,0.273,0.991,0.973,0.611,2.644,47.83%,1.262,0.11%,45.03%,0.574,0.509,58,37,0.806,0.410,0.236,"2023/09/27,2024/02/07"
