策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间,,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/100使用K-means 聚类对基金分类,2023/9/1,2026/2/21,200000,00分11秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01",,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/20小盘股动态调仓，100只10年17倍,2023/9/1,2026/2/21,200000,,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01",,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/49干货贴《机器学习5折保形回归》 ,2023/9/1,2026/2/21,200000,,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01",,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/100使用K-means 聚类对基金分类,2023/9/1,2026/2/21,200000,00分10秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01",,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/49干货贴《机器学习5折保形回归》 ,2023/9/1,2026/2/21,200000,03分28秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01",,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/66手把手教你构建ETF策略候选池,2023/9/1,2026/2/21,200000,,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01",,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/11低风险中等收益策略,2023/9/1,2026/2/21,200000,04分06秒,76.01%,26.81%,42.20%,23.77%,0.214,0.258,2.12,0.698,4.071,7.42%,2.344,0.06%,22.72%,0.74,0.57,224,97,1.07,0.108,0.176,"2024/01/02,2024/02/07",,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/24大容量低回撤价值投资-排除小市值因子,2023/9/1,2026/2/21,200000,,22.30%,8.83%,-15.43%,44.61%,0.009,0.306,0.495,0.583,2.878,7.75%,0.658,-0.02%,34.52%,-0.615,0.484,105,75,-0.449,0.097,0.236,"2023/12/04,2024/02/05",,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/32EPO优化低相关etf组合,2023/9/1,2026/2/21,200000,00分12秒,53.49%,19.73%,24.01%,23.77%,0.141,0.3,1.462,0.75,9.882,8.51%,1.785,0.04%,15.88%,0.354,0.529,66,22,0.669,0.108,0.176,"2024/05/20,2024/09/11",,,,,,,,,,,,,,,,,,,,,,,,,
2025_origin_py/47多策略整合大E小十年百倍（年化64）,2023/9/1,2026/2/21,200000,02分19秒,268.87%,73.05%,131.83%,59.11%,0.638,0.299,3.044,0.581,3.472,11.36%,4.553,0.16%,33.91%,1.21,0.558,97,70,1.618,0.227,0.352,"2025/11/14,2025/12/12",,,,,,,,,,,,,,,,,,,,,,,,,
